b900
---;m=1;m=2;m=3
77;1,19871794872;0,149572649573;0,346153846154
78;1,30379746835;0,860759493671;0,731012658228
79;0,0125;0,00833333333333;0,00625
80;1,35185185185;0,925925925926;0,287037037037
81;1,46951219512;0,817073170732;0,131097560976
82;1,28313253012;0,44578313253;0,340361445783
83;0,113095238095;0,119047619048;0,0654761904762
84;0,811764705882;0,345098039216;0,647058823529
85;1,57558139535;0,248062015504;0,627906976744
86;0,465517241379;0,60153256705;0,741379310345
b200
---;m=1;m=2;m=3
1;0,25;0,166666666667;0,125
2;0,333333333333;0,222222222222;0,166666666667
3;0,125;0,0833333333333;0,0625
4;0,3;0,2;0,15
5;0,166666666667;0,111111111111;0,0833333333333
6;0,285714285714;0,190476190476;0,142857142857
7;0,0625;0,0416666666667;0,03125
8;0,277777777778;0,222222222222;0,138888888889
9;0,1;0,1;0,05
